PropertyType,Location,Year,Rent,CPI,Price-Rent-Ratio,VacancyRate,HousingStock
Apartment,"Harolds Cross, Dublin 6W",2008,1085.5,47.33,123.4,0,1960000
Apartment,"Templeogue, Dublin 6W",2008,0,47.33,123.4,0,1960000
Apartment,"Terenure, Dublin 6W",2008,1377.86,47.33,123.4,0,1960000
Apartment,Dublin 7,2008,1143.01,47.33,123.4,0,1960000
Apartment,"Arbour Hill, Dublin 7",2008,0,47.33,123.4,0,1960000
Apartment,"Cabra, Dublin 7",2008,989.59,47.33,123.4,0,1960000
Apartment,"Navan Road, Dublin 7",2008,1151.79,47.33,123.4,0,1960000
Apartment,"North Circular Road, Dublin 7",2008,0,47.33,123.4,0,1960000
Apartment,"Phibsboro, Dublin 7",2008,1075.55,47.33,123.4,0,1960000
Apartment,"Smithfield, Dublin 7",2008,1377.41,47.33,123.4,0,1960000
Apartment,"Stoneybatter, Dublin 7",2008,829.95,47.33,123.4,0,1960000
Apartment,Dublin 8,2008,1163.34,47.33,123.4,0,1960000
Apartment,"Christchurch, Dublin 8",2008,1195.86,47.33,123.4,0,1960000
Apartment,"Cork Street, Dublin 8",2008,1282.1,47.33,123.4,0,1960000
Apartment,"Dolphins Barn, Dublin 8",2008,1212.16,47.33,123.4,0,1960000
Apartment,"Inchicore, Dublin 8",2008,1176.11,47.33,123.4,0,1960000
Apartment,"Islandbridge, Dublin 8",2008,1230.57,47.33,123.4,0,1960000
