PropertyType,NumberofRoom,Location,2008,2009,2010,2011,2012,2013,2014,2015
Detached house,Three bed,"Rathgar, Dublin 6",0,0,0,0,0,0,0,0
Detached house,Three bed,"Rathmines, Dublin 6",0,0,0,0,0,0,0,0
Detached house,Three bed,"Terenure, Dublin 6",0,0,0,0,0,0,0,0
Detached house,Three bed,Dublin 6W,0,0,0,0,0,0,0,0
Detached house,Three bed,"Harolds Cross, Dublin 6W",0,0,0,0,0,0,0,0
Detached house,Three bed,"Templeogue, Dublin 6W",0,0,0,0,0,0,0,0
Detached house,Three bed,"Terenure, Dublin 6W",0,0,0,0,0,0,0,0
Detached house,Three bed,Dublin 7,0,0,0,0,0,0,0,0
Detached house,Three bed,"Arbour Hill, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Three bed,"Cabra, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Three bed,"Navan Road, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Three bed,"North Circular Road, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Three bed,"Phibsboro, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Three bed,"Smithfield, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Three bed,"Stoneybatter, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Three bed,Dublin 8,0,0,0,0,0,0,0,0
Detached house,Three bed,"Christchurch, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Three bed,"Cork Street, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Three bed,"Dolphins Barn, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Three bed,"Inchicore, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Three bed,"Islandbridge, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Three bed,"Kilmainham , Dublin 8",0,0,0,0,0,0,0,0
Detached house,Three bed,"Portobello, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Three bed,"Rialto, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Three bed,"South Circular Road, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Three bed,"The Coombe, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Three bed,Dublin 9,0,0,0,0,0,0,0,0
Detached house,Three bed,"Ballymun, Dublin 9",0,0,0,0,0,0,0,0
Detached house,Three bed,"Beaumont, Dublin 9",0,0,0,0,0,0,0,0
Detached house,Three bed,"Drumcondra, Dublin 9",0,0,0,0,0,0,0,0
Detached house,Three bed,"Glasnevin, Dublin 9",0,0,0,0,0,0,0,0
Detached house,Three bed,"Santry, Dublin 9",0,0,0,0,0,0,0,0
Detached house,Three bed,"Whitehall, Dublin 9",0,0,0,0,0,0,0,0
Detached house,Three bed,Dublin 10,0,0,0,0,0,0,0,0
Detached house,Three bed,"Ballyfermot, Dublin 10",0,0,0,0,0,0,0,0
Detached house,Three bed,"Cherry Orchard, Dublin 10",0,0,0,0,0,0,0,0
Detached house,Three bed,Dublin 11,0,0,0,0,0,0,0,0
Detached house,Three bed,"Ballymun, Dublin 11",0,0,0,0,0,0,0,0
Detached house,Three bed,"Finglas, Dublin 11",0,0,0,0,0,0,0,0
Detached house,Three bed,"Glasnevin, Dublin 11",0,0,0,0,0,0,0,0
Detached house,Three bed,"Meakstown, Dublin 11",0,0,0,0,0,0,0,0
Detached house,Three bed,"St Margarets Road, Dublin 11",0,0,0,0,0,0,0,0
Detached house,Three bed,Dublin 12,0,0,0,0,0,0,0,0
Detached house,Three bed,"Crumlin, Dublin 12",0,0,0,0,0,0,0,0
Detached house,Three bed,"Drimnagh, Dublin 12",0,0,0,0,0,0,0,0
Detached house,Three bed,"Kimmage, Dublin 12",0,0,0,0,0,0,0,0
Detached house,Three bed,"Walkinstown, Dublin 12",0,0,0,0,0,0,0,0
Detached house,Three bed,Dublin 13,0,0,0,0,0,0,0,0
Detached house,Three bed,"Baldoyle, Dublin 13",0,0,0,0,0,0,0,0
Detached house,Three bed,"Balgriffin, Dublin 13",0,0,0,0,0,0,0,0
Detached house,Three bed,"Clongriffin, Dublin 13",0,0,0,0,0,0,0,0
Detached house,Three bed,"Donaghmede, Dublin 13",0,0,0,0,0,0,0,0
Detached house,Three bed,"Sutton, Dublin 13",0,0,0,0,0,0,0,0
Detached house,Three bed,Dublin 14,0,0,0,0,0,1733.68,1769.69,0
Detached house,Three bed,"Churchtown, Dublin 14",0,0,0,0,0,0,0,0
Detached house,Three bed,"Clonskeagh, Dublin 14",0,0,0,0,0,0,0,0
Detached house,Three bed,"Dundrum, Dublin 14",0,0,0,0,0,0,0,0
Detached house,Three bed,"Goatstown, Dublin 14",0,0,0,0,0,0,0,0
Detached house,Three bed,"Rathfarnham, Dublin 14",0,0,0,0,0,0,0,0
Detached house,Three bed,Dublin 15,0,1232.69,1159.7,1141.82,1146.25,1171.83,1204.21,1228.57
Detached house,Three bed,"Ashtown, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Three bed,"Blanchardstown, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Three bed,"Carpenterstown, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Three bed,"Castleknock, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Three bed,"Clonee, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Three bed,"Clonsilla, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Three bed,"Coolmine, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Three bed,"Mulhuddart, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Three bed,"Ongar, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Three bed,"Porterstown, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Three bed,"Royal Canal Park, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Three bed,"Tyrrelstown, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Three bed,Dublin 16,0,0,0,0,0,0,0,0
Detached house,Three bed,"Ballinteer, Dublin 16",0,0,0,0,0,0,0,0
Detached house,Three bed,"Dundrum, Dublin 16",0,0,0,0,0,0,0,0
Detached house,Three bed,"Knocklyon, Dublin 16",0,0,0,0,0,0,0,0
Detached house,Three bed,"Rathfarnham, Dublin 16",0,0,0,0,0,0,0,0
Detached house,Three bed,"Sandyford, Dublin 16",0,0,0,0,0,0,0,0
Detached house,Three bed,Dublin 17,0,0,0,0,0,0,0,0
Detached house,Three bed,"Malahide Road, Dublin 17",0,0,0,0,0,0,0,0
Detached house,Three bed,"Northern Cross, Dublin 17",0,0,0,0,0,0,0,0
Detached house,Three bed,Dublin 18,0,0,0,0,0,0,0,0
Detached house,Three bed,"Cabinteely, Dublin 18",0,0,0,0,0,0,0,0
Detached house,Three bed,"Carrickmines, Dublin 18",0,0,0,0,0,0,0,0
Detached house,Three bed,"Foxrock, Dublin 18",0,0,0,0,0,0,0,0
Detached house,Three bed,"Leopardstown, Dublin 18",0,0,0,0,0,0,0,0
Detached house,Three bed,"Sandyford, Dublin 18",0,0,0,0,0,0,0,0
Detached house,Three bed,"Stepaside, Dublin 18",0,0,0,0,0,0,0,0
Detached house,Three bed,Dublin 20,0,0,0,0,0,0,0,0
Detached house,Three bed,"Chapelizod, Dublin 20",0,0,0,0,0,0,0,0
Detached house,Three bed,"Palmerstown, Dublin 20",0,0,0,0,0,0,0,0
Detached house,Three bed,"Clondalkin, Dublin 22",0,0,0,0,0,0,0,0
Detached house,Three bed,Dublin 24,0,1153.37,1055.2,1030.11,1019.57,1032.42,1086.93,1174.76
Detached house,Three bed,"Ballycullen, Dublin 24",0,0,0,0,0,0,0,0
Detached house,Three bed,"Citywest, Dublin 24",0,0,0,0,0,0,0,0
Detached house,Three bed,"Firhouse, Dublin 24",0,0,0,0,0,0,0,0
Detached house,Three bed,"Tallaght, Dublin 24",0,0,1013.5,0,0,989.19,0,0
Detached house,1 to 2 bed,Dublin,1517.68,1466.57,1391.52,1399.8,1406.12,1409.34,1420.4,1499.01
Detached house,1 to 2 bed,"Balbriggan, Dublin",0,0,0,0,0,0,0,0
Detached house,1 to 2 bed,"Blackrock, Dublin",0,0,0,0,0,0,0,0
Detached house,1 to 2 bed,"Booterstown, Dublin",0,0,0,0,0,0,0,0
Detached house,1 to 2 bed,"Cabinteely, Dublin",0,0,0,0,0,0,0,0
Detached house,1 to 2 bed,"Citywest, Dublin",0,0,0,0,0,0,0,0
Detached house,1 to 2 bed,"Dalkey, Dublin",0,0,0,0,0,0,0,0
Detached house,1 to 2 bed,"Donabate, Dublin",0,0,0,0,0,0,0,0
Detached house,1 to 2 bed,"Dun Laoghaire, Dublin",0,0,0,0,0,0,0,0
Detached house,1 to 2 bed,"Glenageary, Dublin",0,0,0,0,0,0,0,0
Detached house,1 to 2 bed,"Howth, Dublin",0,0,0,0,0,0,0,0
Detached house,1 to 2 bed,"Killiney, Dublin",0,0,0,0,0,0,0,0
Detached house,1 to 2 bed,"Kinsealy, Dublin",0,0,0,0,0,0,0,0
